"","x"
"494","DOSVAL001_A549_24H:BRD-K90382497:10"
"495","DOSVAL002_A549_24H:BRD-A13084692:10"
"496","DOSVAL002_A549_24H:BRD-A19037878:10"
"497","DOSVAL002_A549_24H:BRD-A61304759:10"
"498","DOSVAL002_A549_24H:BRD-K08318631:10"
"499","DOSVAL002_A549_24H:BRD-K10749593:10"
"500","DOSVAL002_A549_24H:BRD-K10785504:10"
"501","DOSVAL002_A549_24H:BRD-K20109053:10"
"502","DOSVAL002_A549_24H:BRD-K22937431:10"
"503","DOSVAL002_A549_24H:BRD-K23319301:10"
"504","DOSVAL002_A549_24H:BRD-K27475558:10"
"505","DOSVAL002_A549_24H:BRD-K39597586:10"
"506","DOSVAL002_A549_24H:BRD-K44242139:10"
"507","DOSVAL002_A549_24H:BRD-K45627302:10"
"508","DOSVAL002_A549_24H:BRD-K67236950:10"
"509","DOSVAL002_A549_24H:BRD-K81418486:10"
"510","DOSVAL002_A549_24H:BRD-K88378636:10"
"511","DOSVAL002_A549_24H:BRD-K97972722:10"
"512","DOSVAL002_A549_24H:BRD-K98645985:10"
"513","DOSVAL002_A549_24H:BRD-K99259037:10"
