"","x"
"499","CPC012_PC3_24H:BRD-A20697603-001-05-6:10"
"500","CPC012_PC3_24H:BRD-A39093044-001-05-4:10"
"501","CPC012_PC3_24H:BRD-A61858259-001-01-0:10"
"502","CPC012_PC3_24H:BRD-A76490030-001-06-0:10"
"503","CPC012_PC3_24H:BRD-K04534322-001-01-8:10"
"504","CPC012_PC3_24H:BRD-K19624190-001-01-9:10"
"505","CPC012_PC3_24H:BRD-K32485462-001-01-9:10"
"506","CPC012_PC3_24H:BRD-K32896438-001-01-8:10"
"507","CPC012_PC3_24H:BRD-K36087356-001-01-8:10"
"508","CPC012_PC3_24H:BRD-K40094191-001-01-7:10"
"509","CPC012_PC3_24H:BRD-K41652870-001-01-9:10"
"510","CPC012_PC3_24H:BRD-K48935217-001-01-3:10"
"511","CPC012_PC3_24H:BRD-K56001384-001-03-6:10"
